partidaInmobiliaria,descripcion,costoInicial
MZA41-10,superficie:750.20mt2- 16.69 x 45mts,9000000
MZA41-11,superficie:750.20mt2- 16.69 x 45mts,9000000
MZA41-12,superficie:750.20mt2- 16.69 x 45mts,9000000
MZA41-13,superficie:750.20mt2- 16.69 x 45mts,9000000
MZA41-14,superficie:750.20mt2- 16.69 x 45mts,9000000
MZA41-15,superficie:750.20mt2- 15 x 45mts,11000000
MZA41-16,superficie: 876.56mt2- 15 x 58.46mts,10000000
MZA42-1,superficie: 757.15mt2- 16.84 x 45mts,11000000
MZA42-2,superficie: 757.15mt2- 16.84 x 45mts,9000000
MZA42-3,superficie: 757.15mt2- 16.84 x 45mts,9000000
MZA42-4,superficie: 757.15mt2- 16.84 x 45mts,9000000
MZA42-5,superficie: 757.15mt2- 16.84 x 45mts,9000000
MZA42-6,superficie: 757.15mt2- 16.84 x 45mts,9000000
MZA42-7,superficie: 757.15mt2- 16.84 x 45mts,11000000
MZA42-8,superficie: 881.95mt2- 15 x 58.82mts,10000000
MZA42-9,superficie: 754.84mt2- 16.79 x 45mts,11000000
MZA42-10,superficie:754.84mt2- 16.79 x 45mts,9000000
MZA42-11,superficie:754.84mt2- 16.79 x 45mts,9000000
MZA42-12,superficie:754.84mt2- 16.79 x 45mts,9000000
MZA42-13,superficie:754.84mt2- 16.79 x 45mts,9000000
MZA42-14,superficie:754.84mt2- 16.79 x 45mts,9000000
MZA42-15,superficie:754.84mt2- 16.79 x 45mts,11000000
MZA42-16,superficie:881.95mt2- 15 x 58.82,10000000
MZA43-1,superficie: 761.67mt2- 16.95 x 45mts,11000000
MZA43-2,superficie: 761.67mt2- 16.95 x 45mts,9000000
MZA43-3,superficie: 761.67mt2- 16.95 x 45mts,9000000
MZA43-4,superficie: 761.67mt2- 16.95 x 45mts,9000000
MZA43-5,superficie: 761.67mt2- 16.95 x 45mts,9000000
MZA43-6,superficie: 761.67mt2- 16.95 x 45mts,9000000
MZA43-7,superficie: 761.67mt2- 16.95 x 45mts,11000000
MZA43-8,superficie: 887.35mt2- 15 x 59.18mts,10000000
MZA43-9,superficie: 759.45mt2- 16.90 x 45mts,11000000
MZA43-10,superficie:759.45mt2- 16.90  x 45mts,9000000
MZA43-11,superficie:759.45mt2- 16.90  x 45mts,9000000
MZA43-12,superficie:759.45mt2- 16.90  x 45mts,9000000
MZA43-13,superficie:759.45mt2- 16.90  x 45mts,9000000
MZA43-14,superficie:759.45mt2- 16.90  x 45mts,9000000
MZA43-15,superficie:759.45mt2- 16.90  x 45mts,11000000
MZA43-16,superficie: 887.35mt2- 15 x 59.18mts,10000000
MZA44-1,superficie: 766.38mt2- 17.05 x 45mts,11000000
MZA44-2,superficie: 766.38mt2- 17.05 x 45mts,9000000
MZA44-3,superficie: 766.38mt2- 17.05 x 45mts,9000000
MZA44-4,superficie: 766.38mt2- 17.05 x 45mts,9000000
MZA44-5,superficie: 766.38mt2- 17.05 x 45mts,9000000
MZA44-6,superficie: 766.38mt2- 17.05 x 45mts,9000000
MZA44-7,superficie: 766.38mt2- 17.05 x 45mts,11000000
MZA44-8,superficie: 893.73mt2- 15 x 59.54mts,10000000
MZA44-9,superficie: 764.08mt2- 17 x 45mts,11000000
MZA44-10,superficie:764.08mt2- 17 x 45mts,9000000
MZA44-11,superficie:764.08mt2- 17 x 45mts,9000000
MZA44-12,superficie:764.08mt2- 17 x 45mts,9000000
MZA44-13,superficie:764.08mt2- 17 x 45mts,9000000
MZA44-14,superficie:764.08mt2- 17 x 45mts,9000000
MZA44-15,superficie:764.08mt2- 17 x 45mts,11000000
MZA44-16,superficie: 893.73mt2- 15 x 59.54mts,10000000
MZA45-1,superficie: 771.01mt2- 17.15 x 45mts,11000000
MZA45-2,superficie: 771.01mt2- 17.15 x 45mts,9000000
MZA45-3,superficie: 771.01mt2- 17.15 x 45mts,9000000
MZA45-4,superficie: 771.01mt2- 17.15 x 45mts,9000000
MZA45-5,superficie: 771.01mt2- 17.15 x 45mts,9000000
MZA45-6,superficie: 771.01mt2- 17.15 x 45mts,9000000
MZA45-7,superficie: 771.01mt2- 17.15 x 45mts,11000000
MZA45-8,superficie: 898.14mt2- 15 x 59.90mts,10000000
MZA45-9,superficie: 768.69mt2- 17.10 x 45mts,11000000
MZA45-10,superficie:768.69mt2- 17.10 x 45mts,9000000
MZA45-11,superficie:768.69mt2- 17.10 x 45mts,9000000
MZA45-12,superficie:768.69mt2- 17.10 x 45mts,9000000
MZA45-13,superficie:768.69mt2- 17.10 x 45mts,9000000
MZA45-14,superficie:768.69mt2- 17.10 x 45mts,9000000
MZA45-15,superficie:768.69mt2- 17.10 x 45mts,11000000
MZA45-16,superficie: 898.14mt2- 15 x 59.90mts,10000000
